,1_race,2_race,1_hps,2_hps,1_mps,2_mps,1_action,2_action,1_damage,2_damage
0,Wizard,Cleric,5000,50000,200,80,2,-1,0,1800
1,Wizard,Cleric,5000,48200,190,80,-1,0,0,0
2,Wizard,Cleric,5000,48200,190,80,3,-1,0,1500
3,Wizard,Cleric,5000,46700,190,80,-1,3,0,-6403
4,Wizard,Cleric,5000,50000,190,80,2,-1,0,1800
5,Wizard,Cleric,5000,48200,180,80,-1,2,0,0
6,Wizard,Cleric,5000,48200,180,80,1,-1,0,2400
7,Wizard,Cleric,5000,45800,160,80,-1,1,500,0
8,Wizard,Cleric,4500,45800,160,80,0,-1,0,1800
9,Wizard,Cleric,4500,44000,150,80,-1,1,500,0
10,Wizard,Cleric,4000,44000,150,80,3,-1,0,1500
11,Wizard,Cleric,4000,42500,150,80,-1,0,5000,0
