,Hero_Name,Prob_Hero_Won,Prob_Hero_Lose,mean_Nturns,Enemy_HP,Enemy_MP,Enemy_AP,Enemy_Action_Set,Enemy_Name
0,Warrior,1.0,0.0,14.8,400.0,10.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
1,Warrior,0.9,0.1,21.4,400.0,48.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
2,Warrior,1.0,0.0,18.4,400.0,86.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
3,Warrior,1.0,0.0,21.8,400.0,124.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
4,Warrior,1.0,0.0,19.6,400.0,162.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
5,Warrior,1.0,0.0,17.8,400.0,200.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
6,Warrior,1.0,0.0,23.2,560.0,10.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
7,Warrior,1.0,0.0,22.6,560.0,48.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
8,Warrior,1.0,0.0,25.6,560.0,86.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
9,Warrior,1.0,0.0,29.4,560.0,124.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
10,Warrior,1.0,0.0,28.4,560.0,162.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
11,Warrior,1.0,0.0,22.8,560.0,200.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
12,Warrior,1.0,0.0,35.4,720.0,10.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
13,Warrior,1.0,0.0,29.0,720.0,48.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
14,Warrior,1.0,0.0,29.6,720.0,86.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
15,Warrior,1.0,0.0,32.4,720.0,124.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
16,Warrior,1.0,0.0,32.6,720.0,162.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
17,Warrior,1.0,0.0,30.2,720.0,200.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
18,Warrior,1.0,0.0,36.6,880.0,10.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
19,Warrior,1.0,0.0,42.8,880.0,48.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
20,Warrior,1.0,0.0,43.0,880.0,86.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
21,Warrior,0.9,0.1,40.0,880.0,124.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
22,Warrior,0.9,0.1,38.6,880.0,162.0,10.0,"[{'name': 'Punch', 'type': 'physical', 'dmg': 5, 'succ': 0.9, 'mp_cost': 0}, {'name': 'Kick', 'type': 'physical', 'dmg': 10, 'succ': 0.7, 'mp_cost': 0}, {'name': 'Chuck Norris roundhouse kick', 'type': 'physical', 'dmg': 20, 'succ': 0.01, 'mp_cost': 0}, {'name': 'Heal yourself', 'type': 'heal', 'dmg': 0, 'succ': 1, 'mp_cost': 0}]",Ninja
